รหัสใหม่,รหัสเดิม,หมวด (ตำแหน่งที่ 7),ชื่อหมวด,กลุ่มวิชา,ชื่อรายวิชา (ไทย),ชื่อรายวิชา (อังกฤษ),หน่วยกิต,ภาคการศึกษาที่เปิดสอน
EN-714-14011,EN-135-311,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,หุ่นยนต์และระบบอัตโนมัติทางการเกษตร,Agricultural Robotics and Automation,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14012,EN-135-312,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,เทคโนโลยีอากาศยานไร้คนขับและการสำรวจระยะไกลเพื่อการเกษตร,UAV Technology and Remote Sensing for Agriculture,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14013,EN-135-313,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,การจัดการห่วงโซ่อุปทานสินค้าเกษตรด้วยเทคโนโลยีอัจฉริยะ,Smart Agricultural Supply Chain Management,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14014,EN-135-314,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,การประยุกต์ใช้ปัญญาประดิษฐ์ในเทคโนโลยีชีวภาพการเกษตร,AI Applications in Agricultural Biotechnology,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14015,EN-135-315,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,การจัดการความเสี่ยงทางการเกษตรและการเปลี่ยนแปลงสภาพภูมิอากาศด้วยปัญญาประดิษฐ์,Agricultural Risk and Climate Change Management with AI,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14016,EN-135-316,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การควบคุมกระบวนการขั้นสูงและระบบควบคุมแบบกระจาย,Advanced Process Control and Distributed Control Systems,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14017,EN-135-317,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การบำรุงรักษาเชิงพยากรณ์และป้องกันด้วยปัญญาประดิษฐ์,AI-Based Predictive and Preventive Maintenance,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14018,EN-135-318,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การออกแบบและการจัดการคลังสินค้าอัจฉริยะ,Smart Warehouse Design and Management,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14019,EN-135-319,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การวิจัยดำเนินงานขั้นสูงและการหาค่าเหมาะที่สุดทางอุตสาหกรรม,Advanced Operations Research and Industrial Optimization,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14020,EN-135-320,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,เทคโนโลยีอุตสาหกรรมเกษตรและการแปรรูป,Agro-Industrial and Processing Technology,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14021,EN-135-321,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,ปัญญาประดิษฐ์และการจัดการโรงสีข้าวอัจฉริยะ,Artificial Intelligence and Smart Rice Mill Management,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14022,EN-135-322,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,เทคโนโลยีอัจฉริยะในกระบวนการผลิตอ้อยและน้ำตาล,Smart Technology in Sugarcane and Sugar Production Processes,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14023,EN-135-323,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,เทคโนโลยีอัจฉริยะในกระบวนการผลิตมันสำปะหลังและแป้ง,Smart Technology in Cassava and Starch Production Processes,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14024,EN-135-324,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,เทคโนโลยีอินเทอร์เน็ตของสรรพสิ่งสำหรับการเก็บรักษาผลผลิตเกษตร,Internet of Things Technology for Agricultural Produce Storage,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14025,EN-135-325,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,ระบบอบแห้งอัจฉริยะในอุตสาหกรรมเกษตร,Smart Drying Systems in Agro-Industry,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14026,EN-135-326,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,วิศวกรรมระบบขนถ่ายวัสดุและบรรจุภัณฑ์อัตโนมัติ,Automated Material Handling and Packaging Systems Engineering,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14027,EN-135-327,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การควบคุมการเคลื่อนที่และวิศวกรรมเซลล์หุ่นยนต์ร่วมปฏิบัติงาน,Motion Control and Collaborative Robot Cell Engineering,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14028,EN-135-328,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การปรับปรุงกระบวนการด้วยลีนและปัญญาประดิษฐ์,Lean and AI-Enabled Process Improvement,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14029,EN-135-329,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,คอมพิวเตอร์วิทัศน์เพื่อการควบคุมคุณภาพในอุตสาหกรรม,Computer Vision for Industrial Quality Control,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14030,EN-135-330,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การจัดการพลังงานอัจฉริยะและระบบพลังงานแสงอาทิตย์,Smart Energy Management and Solar Energy Systems,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14031,EN-135-331,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,ระบบนิวแมติกส์และไฮดรอลิกอัจฉริยะสำหรับวิศวกรรมปัญญาประดิษฐ์,Intelligent Pneumatic and Hydraulic Systems for Artificial Intelligence Engineering,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14032,EN-135-332,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การถ่ายโอนความร้อนและมวลสารสำหรับระบบอัจฉริยะ,Heat and Mass Transfer for Smart Systems,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14033,EN-135-333,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,วิศวกรรมความปลอดภัยอัจฉริยะ อาชีวอนามัย และกฎหมายอุตสาหกรรม,"Intelligent Safety Engineering, Occupational Health and Industrial Law",3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14034,EN-135-334,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การออกแบบเครื่องจักรกลอัจฉริยะ,Intelligent Machine Design,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14035,EN-135-335,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 2 AI ภาคอุตสาหกรรม,การออกแบบเครื่องจักรกลชั้นสูงสำหรับระบบอัตโนมัติและหุ่นยนต์,Advanced Machine Design for Automation and Robotics,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14036,EN-135-336,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,วิศวกรรมข้อมูลขั้นสูงและการวางไปป์ไลน์ข้อมูล,Advanced Data Engineering and Data Pipelines,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14037,EN-135-337,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,โมเดลภาษาขนาดใหญ่ขั้นสูง,Advanced Large Language Models,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14038,EN-135-338,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,ความน่าเชื่อถือและความปลอดภัยของปัญญาประดิษฐ์,AI Reliability and Safety,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14039,EN-135-339,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,สถาปัตยกรรมปัญญาประดิษฐ์ระดับองค์กร,Enterprise AI Architecture,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14040,EN-135-340,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การออกแบบประสบการณ์ผู้ใช้สำหรับระบบอัจฉริยะ,UX/UI Design for Intelligent Systems,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14041,EN-135-341,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,ปัญญาประดิษฐ์ทางการแพทย์และสุขภาพ,Artificial Intelligence in Medical and Healthcare,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14042,EN-135-342,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การวิเคราะห์ข้อมูลภาพทางการแพทย์,Medical Image Analysis,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14043,EN-135-343,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,เทคโนโลยีทางการเงินและปัญญาประดิษฐ์,Financial Technology and Artificial Intelligence,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14044,EN-135-344,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การวิเคราะห์ข้อมูลเชิงคาดการณ์ทางการเงิน,Predictive Data Analysis in Finance,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14045,EN-135-345,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การสร้างธุรกิจปัญญาประดิษฐ์,AI Venture Creation,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14046,EN-135-346,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การจัดการโครงการซอฟต์แวร์อัจฉริยะ,Intelligent Software Project Management,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14047,EN-135-347,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การพัฒนาธุรกิจและการตลาดดิจิทัลด้วยปัญญาประดิษฐ์,Business Development and Digital Marketing with AI,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14048,EN-135-348,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,การจัดการผลิตภัณฑ์ปัญญาประดิษฐ์,AI Product Management,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14049,EN-135-349,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,เทคโนโลยีโลกเสมือนจริงและปัญญาประดิษฐ์,Virtual Reality Technology and Artificial Intelligence,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14050,EN-135-350,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 3 นวัตกรรม AI องค์กร,ธรรมาภิบาลและความเสี่ยงของปัญญาประดิษฐ์,AI Governance and Risk,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14051,EN-135-356,4,วิชาเลือก,2.4 วิชาเลือก · หัวข้อพิเศษ (ร่วมทุกแขนง),หัวข้อพิเศษด้านเทคโนโลยีเกิดใหม่ทางปัญญาประดิษฐ์และระบบอัจฉริยะ 1,Special Topics in Emerging Artificial Intelligence and Intelligent System Technologies 1,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14052,EN-135-357,4,วิชาเลือก,2.4 วิชาเลือก · หัวข้อพิเศษ (ร่วมทุกแขนง),หัวข้อพิเศษด้านเทคโนโลยีเกิดใหม่ทางปัญญาประดิษฐ์และระบบอัจฉริยะ 2,Special Topics in Emerging Artificial Intelligence and Intelligent System Technologies 2,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-16001,EN-135-351,6,ฝึกปฏิบัติในสถานประกอบการ,2.6 การเรียนรู้ร่วมการทำงาน (แผน ข),การเรียนรู้ร่วมการทำงานด้านวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ 1,Work-Integrated Learning in Artificial Intelligence and Intelligent System Engineering 1,3(2-2-5),7
EN-714-16002,EN-135-352,6,ฝึกปฏิบัติในสถานประกอบการ,2.6 การเรียนรู้ร่วมการทำงาน (แผน ข),การเรียนรู้ร่วมการทำงานด้านวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ 2,Work-Integrated Learning in Artificial Intelligence and Intelligent System Engineering 2,3(2-2-5),7
EN-714-16003,EN-135-353,6,ฝึกปฏิบัติในสถานประกอบการ,2.6 การเรียนรู้ร่วมการทำงาน (แผน ข),การเรียนรู้ร่วมการทำงานด้านวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ 3,Work-Integrated Learning in Artificial Intelligence and Intelligent System Engineering 3,3(2-2-5),7
EN-714-16004,EN-135-354,6,ฝึกปฏิบัติในสถานประกอบการ,2.6 การเรียนรู้ร่วมการทำงาน (แผน ข),การเรียนรู้ร่วมการทำงานด้านวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ 4,Work-Integrated Learning in Artificial Intelligence and Intelligent System Engineering 4,3(2-2-5),7
EN-714-16005,EN-135-355,6,ฝึกปฏิบัติในสถานประกอบการ,2.6 การเรียนรู้ร่วมการทำงาน (แผน ข),การเรียนรู้ร่วมการทำงานด้านวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ 5,Work-Integrated Learning in Artificial Intelligence and Intelligent System Engineering 5,3(2-2-5),7
EN-714-17001,EN-135-401,7,สหกิจศึกษา,2.7 สหกิจศึกษา,เตรียมความพร้อมสหกิจศึกษา,Cooperative Education Preparation,1(0-2-1),6
EN-714-17002,EN-135-402,7,สหกิจศึกษา,2.7 สหกิจศึกษา,สหกิจศึกษา,Cooperative Education,6(0-40-0),8
